product_category,product_full_name,product_header_name,product_description,business_line,matched_categories,product_id,product_price,product_name,vendor_code
آش و حلیم,آش رشته آش رشته	,آش رشته,رشته، نخود، لوبیا، عدس، پیاز، نعنا، کشک، ادویه,Restaurant,حلیم و آش,847852,140000,آش رشته	,5331x7
آش و حلیم,آش رشته آش رشته	,آش رشته,رشته، نخود، لوبیا، عدس، پیاز، نعنا، کشک، ادویه,Restaurant,حلیم و آش,847852,140000,آش رشته	,5331x7
صبحانه,حلیم نیشابوری  یک کیلوگرم,حلیم نیشابوری ,گوشت گوسفندی، گندم، ادویه مخصوص ,Restaurant,حلیم و آش,963310,160000,یک کیلوگرم,2z4w92
صبحانه,حلیم نیشابوری  1.5 کیلوگرم,حلیم نیشابوری ,گوشت گوسفندی، گندم، ادویه مخصوص ,Restaurant,حلیم و آش,963311,240000,1.5 کیلوگرم,2z4w92
صبحانه,حلیم نیشابوری  دو کیلوگرم,حلیم نیشابوری ,گوشت گوسفندی، گندم، ادویه مخصوص ,Restaurant,حلیم و آش,963312,320000,دو کیلوگرم,2z4w92
صبحانه,حلیم نیشابوری  2.5 کیلوگرم,حلیم نیشابوری ,گوشت گوسفندی، گندم، ادویه مخصوص ,Restaurant,حلیم و آش,963313,400000,2.5 کیلوگرم,2z4w92
صبحانه,حلیم نیشابوری  سه کیلوگرم,حلیم نیشابوری ,گوشت گوسفندی، گندم، ادویه مخصوص ,Restaurant,حلیم و آش,963314,480000,سه کیلوگرم,2z4w92
صبحانه,حلیم نیشابوری  600 گرم (یک پرس),حلیم نیشابوری ,گوشت گوسفندی، گندم، ادویه مخصوص ,Restaurant,حلیم و آش,963315,96000,600 گرم (یک پرس),2z4w92
حلیم,حلیم مخصوص یک نفره,حلیم مخصوص,"با تزئین شکر، دارچین، کنجد، در ظرف گیاهی، بدون نان و قاشق	
",Restaurant,حلیم و آش,477182,195500,یک نفره,54gw82
حلیم,حلیم مخصوص دو نفره,حلیم مخصوص,"با تزئین شکر، دارچین، کنجد، در ظرف گیاهی، بدون نان و قاشق	
",Restaurant,حلیم و آش,477183,295500,دو نفره,54gw82
آش و سوپ,آش دوغ یک نفره,آش دوغ,دوغ محلی ملس، سبزیجات مخصوص، نعنا داغ، در ظرف گیاهی ( بدون نان و قاشق)	,Restaurant,حلیم و آش,1578855,155000,یک نفره,54gw82
آش و سوپ,آش دوغ دو نفره,آش دوغ,دوغ محلی ملس، سبزیجات مخصوص، نعنا داغ، در ظرف گیاهی ( بدون نان و قاشق)	,Restaurant,حلیم و آش,1578856,255000,دو نفره,54gw82
آش و سوپ,آش شله قلمکار یک نفره,آش شله قلمکار,با تزئین پیاز داغ و نعنا، بسیار خوشمزه و منحصر به فرد، بدون نان و قاشق	,Restaurant,حلیم و آش,1578857,175500,یک نفره,54gw82
آش و سوپ,آش شله قلمکار دو نفره,آش شله قلمکار,با تزئین پیاز داغ و نعنا، بسیار خوشمزه و منحصر به فرد، بدون نان و قاشق	,Restaurant,حلیم و آش,1578858,275500,دو نفره,54gw82
آش و سوپ,آش رشته دو نفره,آش رشته,"آش رشته با تزئین کشک پاستوریزه، پیاز داغ، سیر داغ، نعنا داغ، بدون نان و قاشق	
",Restaurant,حلیم و آش,690238,275500,دو نفره,54gw82
آش و سوپ,آش جو یک نفره,آش جو,آش جو، کشک بسته بندی، نان بسته بندی، ظرف بسته بندی بهداشتی مایکروویوی، پک کاتلری,Restaurant,حلیم و آش,690257,145500,یک نفره,54gw82
آش و سوپ,آش جو دو نفره,آش جو,آش جو، کشک بسته بندی، نان بسته بندی، ظرف بسته بندی بهداشتی مایکروویوی، پک کاتلری,Restaurant,حلیم و آش,690258,235000,دو نفره,54gw82
حلیم,حلیم مخصوص یک نفره,حلیم مخصوص,"با تزئین شکر، دارچین، کنجد، در ظرف گیاهی، بدون نان و قاشق	
",Restaurant,حلیم و آش,477129,195500,یک نفره,216xg5
حلیم,حلیم مخصوص دو نفره,حلیم مخصوص,"با تزئین شکر، دارچین، کنجد، در ظرف گیاهی، بدون نان و قاشق	
",Restaurant,حلیم و آش,477130,295500,دو نفره,216xg5
آش و سوپ,آش دوغ یک نفره,آش دوغ,دوغ محلی ملس، سبزیجات مخصوص، نعنا داغ، در ظرف گیاهی ( بدون نان و قاشق)	,Restaurant,حلیم و آش,1578845,155000,یک نفره,216xg5
آش و سوپ,آش دوغ دو نفره,آش دوغ,دوغ محلی ملس، سبزیجات مخصوص، نعنا داغ، در ظرف گیاهی ( بدون نان و قاشق)	,Restaurant,حلیم و آش,1578846,255000,دو نفره,216xg5
آش و سوپ,آش شله قلمکار یک نفره,آش شله قلمکار,با تزئین پیاز داغ و نعنا، بسیار خوشمزه و منحصر به فرد، بدون نان و قاشق	,Restaurant,حلیم و آش,1578847,175500,یک نفره,216xg5
آش و سوپ,آش شله قلمکار دو نفره,آش شله قلمکار,با تزئین پیاز داغ و نعنا، بسیار خوشمزه و منحصر به فرد، بدون نان و قاشق	,Restaurant,حلیم و آش,1578848,275500,دو نفره,216xg5
آش و سوپ,آش رشته یک نفره,آش رشته,"آش رشته با تزئین کشک پاستوریزه، پیاز داغ، سیر داغ، نعنا داغ، بدون نان و قاشق	
",Restaurant,حلیم و آش,690226,175500,یک نفره,216xg5
آش و سوپ,آش رشته دو نفره,آش رشته,"آش رشته با تزئین کشک پاستوریزه، پیاز داغ، سیر داغ، نعنا داغ، بدون نان و قاشق	
",Restaurant,حلیم و آش,690227,275500,دو نفره,216xg5
