product_category,product_full_name,product_header_name,product_description,business_line,matched_categories,product_id,product_price,product_name,vendor_code,llm_validation,llm_confidence,llm_reason,llm_api_time_ms
سنگک,سنگک سنتی دو رو سبوس دار,سنگک سنتی دو رو سبوس دار,یک عدد,Bakery,نان سنتی,31008,15000,سنگک سنتی دو رو سبوس دار,5gng82,YES,0.95,The product name clearly includes 'سنگک' and does not contain any of the excluded keywords.,19853
بربری,بربری ماشینی کنجدی,بربری ماشینی کنجدی,یک عدد,Bakery,نان سنتی,669788,10000,بربری ماشینی کنجدی,5gng82,YES,0.9,The product name clearly includes 'بربری'; 'ماشینی' refers to the production method and does not strictly equate to 'نان شرکتی' in the context of traditional bread categories.,19853
بربری,بربری ماشینی ساده,بربری ماشینی ساده,یک عدد,Bakery,نان سنتی,669791,7000,بربری ماشینی ساده,5gng82,YES,0.9,The product name clearly includes 'بربری'; 'ماشینی' refers to the production method and does not strictly equate to 'نان شرکتی' in the context of traditional bread categories.,19853
سنگک,سنگک سنتی سبوس دار,سنگک سنتی سبوس دار,یک عدد، سنگک ساده با آرد کامل تیره  و سبوس اضافه پشت نان,Bakery,نان سنتی,31009,11000,سنگک سنتی سبوس دار,5gng82,YES,0.95,"The product name clearly includes 'سنگک' and does not contain any of the excluded keywords; 'آرد کامل تیره' describes the flour type, not 'آرد' as a standalone product.",19853
سنگک,سنگک سنتی یک رو کنجد,سنگک سنتی یک رو کنجد,یک عدد، با آرد کامل تیره,Bakery,نان سنتی,31010,12000,سنگک سنتی یک رو کنجد,5gng82,YES,0.95,"The product name clearly includes 'سنگک' and does not contain any of the excluded keywords; 'آرد کامل تیره' describes the flour type, not 'آرد' as a standalone product.",19853
سنگک,سنگک سنتی پر کنجد,سنگک سنتی پر کنجد,یک عدد,Bakery,نان سنتی,31011,15000,سنگک سنتی پر کنجد,5gng82,YES,0.95,The product name clearly includes 'سنگک' and does not contain any of the excluded keywords.,19853
سنگک,سنگک سنتی ساده,سنگک سنتی ساده,یک عدد، آرد کامل تیره و سبوس دار ,Bakery,نان سنتی,31012,10000,سنگک سنتی ساده,5gng82,YES,0.95,"The product name clearly includes 'سنگک' and does not contain any of the excluded keywords; 'آرد کامل تیره' describes the flour type, not 'آرد' as a standalone product.",19853
سنگک,سنگک سنتی دو رو کنجد,سنگک سنتی دو رو کنجد,یک عدد، کنجد سفید و مشکی، آرد کامل,Bakery,نان سنتی,31013,13000,سنگک سنتی دو رو کنجد,5gng82,YES,0.95,"The product name clearly includes 'سنگک' and does not contain any of the excluded keywords; 'آرد کامل' describes the flour type, not 'آرد' as a standalone product.",19853
سنگک,سنگک سنتی یک رو کنجد,سنگک سنتی یک رو کنجد,,Bakery,نان سنتی,51097,23000,سنگک سنتی یک رو کنجد,2mpx35,YES,0.95,The product name clearly includes 'سنگک' and does not contain any of the excluded keywords.,19853
سنگک,سنگک سنتی ساده,سنگک سنتی ساده,,Bakery,نان سنتی,51098,20000,سنگک سنتی ساده,2mpx35,YES,0.95,The product name clearly includes 'سنگک' and does not contain any of the excluded keywords.,19853
